ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr
0068,Albertson 1937,Pascopyrum smithii,Agropyron smithii,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,2.18
0069,Albertson 1937:p. 533,Prunus pumila var. besseyi,Prunus besseyi,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3.35
0070,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.42
0071,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.68
0072,Albertson 1937,Ratibida columnifera,Ratibida columnaris,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.64
0073,Albertson 1937,Rhus glabra,,Anacardiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.52
0074,Albertson 1937,Rhus trilobata,Rhus triloba,Anacardiaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,2.44
0075,Albertson 1937:p. 533,Rosa arkansana var. suffulta,Rosa pratincola,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3.66
0076,Albertson 1937,Salvia azurea var. grandiflora,Salvia pitcheri,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,1.38
0077,Albertson 1937,Schizachyrium scoparium,Andropogon scoparius,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.22
0078,Albertson 1937,Scutellaria resinosa,,Lamiaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61
0079,Albertson 1937,Solidago missouriensis var. fasciculata,Solidago glaberrima,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.83
0080,Albertson 1937,Solidago mollis,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.09
0081,Albertson 1937,Sorghastrum nutans,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.1
0082,Albertson 1937,Sphaeralcea coccinea,Malvastrum coccineum,Malvaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.3
0083,Albertson 1937,Stenosiphon linifolius,Stenosiphon linifolium,Onagraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.72
0084,Albertson 1937,Thelesperma megapotamicum,Thelesperma gracile,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.76
0085,Albertson 1937,Vernonia baldwinii,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.23
0086,Anderson 1927,Brachypodium pinnatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.1
0087,Anderson 1927,Bromopsis erecta,Bromus erectus,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.13
0088,Anderson 1927,Helictotrichon pubescens,Avena pubescens,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.11
0089,Antos & Halpern 1997,Collomia heterophylla,,Polemoniaceae,Forb,A,Herbaceous,Dicot,,,C3,0.16
0090,Antos & Halpern 1997,Conyza canadensis,,Asteraceae,Forb,A,Herbaceous,Dicot,,,C3,0.19
0091,Antos & Halpern 1997,Crepis capillaris,,Asteraceae,Forb,A,Herbaceous,Dicot,,,C3,0.31
0092,Antos & Halpern 1997,Epilobium paniculatum,,Onagraceae,Forb,A,Herbaceous,Dicot,,,C3,0.25
0093,Antos & Halpern 1997,Madia gracilis,,Asteraceae,Forb,A,Herbaceous,Dicot,,,C3,0.17
0094,Antos & Halpern 1997,Senecio sylvaticus,,Asteraceae,Forb,A,Herbaceous,Dicot,,,C3,0.26
0095,Antos & Halpern 1997,Berberis nervosa,,Berberidaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.44
0096,Antos & Halpern 1997,Epilobium angustifolium,,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,0.43
0097,Antos & Halpern 1997,Whipplea modesta,,Hydrangeaceae,Semi-shrub,P,Woody,Dicot,D,broad-leaf,C3,0.49
0098,Ashton 1975:pp. 878-879,Eucalyptus regnans,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,2.1
0099,Ashton 1975:13,Eucalyptus regnans,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,4.1
0100,Ashton 1975:p. 881,Eucalyptus regnans,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5
0101,Ashton 1975:p. 877,Eucalyptus regnans,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,7.1
0102,Baitulin 1979,Artemisia lerchiana,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.6
0103,Baitulin 1979,Achillea nobilis,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.55
0104,Baitulin 1979,Ephedra distachya,,Ephedraceae,Semi-shrub,P,Woody,Gymnosperm,E,,C3,0.95
0105,Baitulin 1979,Artemisia austriaca,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.53
0106,Baitulin 1979,Artemisia dracunculus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.03
0107,Baitulin 1979:70,Artemisia scoparia,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.25
0108,Baitulin 1979,Artemisia terrae-albae,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.84
0109,Baitulin 1979:68,Astragalus filicaulis,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,3.18
0110,Baitulin 1979:64,Astragalus puberulus,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,1.2
0111,Baitulin 1979,Dianthus leptopetalus,,Caryophyllaceae,Forb,P,Herbaceous,Dicot,,,C3,2.4
0112,Baitulin 1979:64,Elymus akmolinensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.3
0113,Baitulin 1979,Ephedra distachya,,Ephedraceae,Semi-shrub,P,Woody,Gymnosperm,E,,C3,2.63
0114,Baitulin 1979:65,Equisetum pratense,,Equisetaceae,Forb,P,Herbaceous,Pteridophyte,,,C3,3.1
0115,Baitulin 1979:70,Eryngium planum,,Apiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.76
0116,Baitulin 1979:64,Festuca rupicola,Festuca sulcata,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.76
0117,Baitulin 1979,Galatella linosyris,Linosyris vulgaris,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.6
0118,Baitulin 1979,Galium verum,,Rubiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.59
0119,Baitulin 1979:65,Galium verum,,Rubiaceae,Forb,P,Herbaceous,Dicot,,,C3,2.55
0120,Baitulin 1979:71,Glycyrrhiza uralensis,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,4.3
0121,Baitulin 1979:68,Kochia prostrata,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,,,C4,3.6
0122,Baitulin 1979:72,Medicago falcata,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,1.8
0123,Baitulin 1979,Onosma simplicissima,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.8
0124,Baitulin 1979:73,Palimbia salsa,Palimbia rediviva,Apiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.91
0125,Baitulin 1979,Peucedanum morisonii,,Apiaceae,Forb,P,Herbaceous,Dicot,,,C3,2.6
0126,Baitulin 1979,Phleum phleoides,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.56
0127,Baitulin 1979,Phlomoides tuberosa,Phlomis tuberosa,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.68
0128,Baitulin 1979:70,Phlomoides tuberosa,Phlomis tuberosa,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,1.2
0129,Baitulin 1979:64,Plantago urvillei,Plantago stepposa,Plantaginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.83
0130,Baitulin 1979,Potentilla nudicaulis,Potentilla strigosa,Rosaceae,Forb,P,Herbaceous,Dicot,,,C3,0.4
0131,Baitulin 1979,Salvia stepposa,,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,2.32
0132,Baitulin 1979:70,Saussurea rigida,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.75
0133,Baitulin 1979,Senecio jacobaea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.68
0134,Baitulin 1979:72,Spiraea hypericifolia,,Rosaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.35
0135,Baitulin 1979,Spiraea hypericifolia,,Rosaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.46
0136,Baitulin 1979:64,Stipa capillata,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.92
0137,Baitulin 1979,Thymus pannonicus,"Thymus marschallianus, Thymus stepposus",Lamiaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.5
0138,Baitulin 1979:70,Veronica incana,,Scrophulariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.4
0139,Baitulin 1979,Veronica longifolia,,Scrophulariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.55
0140,Baitulin 1979,Veronica spicata,,Scrophulariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.9
0141,Baitulin 1979:66,Artemisia scoparia,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,2.28
0142,Baitulin 1979:66,Astragalus puberulus,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,1.74
0143,Baitulin 1979:66,Medicago falcata,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,2.38
0144,Baitulin 1979:66,Melilotus alba,Melilotus albus,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.4
0145,Baitulin 1979:63,Artemisia frigida,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.1
0146,Baitulin 1979:63,Artemisia marschalliana,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.9
0147,Baitulin 1979:61,Campanula sibirica,,Campanulaceae,Forb,P,Herbaceous,Dicot,,,C3,0.4
0148,Baitulin 1979,Carex duriuscula,Carex eleocharis,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.56
0149,Baitulin 1979,Centaurea ruthenica,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.32
0150,Baitulin 1979,Gypsophila altissima,,Caryophyllaceae,Forb,P,Herbaceous,Dicot,,,C3,0.9
0151,Baitulin 1979,Koeleria macrantha,Koeleria gracilis,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.93
0152,Baitulin 1979,Lathyrus tuberosus,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,0.5
0153,Baitulin 1979,Medicago falcata,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,1.3
0154,Baitulin 1979,Potentilla nudicaulis,Potentilla strigosa,Rosaceae,Forb,P,Herbaceous,Dicot,,,C3,0.55
0155,Baitulin 1979,Senecio jacobaea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.7
0156,Baitulin 1979,Stipa capillata,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.66
0157,Baitulin 1979,Thalictrum foetidum,,Ranunculaceae,Forb,P,Herbaceous,Dicot,,,C3,0.32
0158,Baitulin 1979:63,Thymus pannonicus,"Thymus marschallianus, Thymus stepposus",Lamiaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.35
0159,Baitulin 1979,Veronica incana,,Scrophulariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.39
0160,Baitulin 1979:63,Artemisia austriaca,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.02
0161,Baitulin 1979:63,Medicago falcata,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,1.22
0162,Baitulin 1979,Anabasis salsa,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,,C4,0.85
0163,Baitulin 1979,Artemisia pauciflora,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.8
0164,Baitulin 1979:17,Haloxylon aphyllum,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,4.21
0165,Baitulin 1979:18,Haloxylon aphyllum,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,7.3
0166,Baitulin 1979,Stipa capillata,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.1
0167,Baitulin 1979,Camphorosma monspeliaca,,Amaranthaceae,Forb,P,Herbaceous,Dicot,,,C4,1.42
0168,Baitulin 1979,Festuca rupicola,Festuca sulcata,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.35
0169,Baitulin 1979,Tanacetum achilleifolium,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.3
