uniqueID,lat,long,XFT database,Group,Family,Genus,Species,class_gbif,order_gbif,family_gbif,binomial_gnr,genus_gnr,species_gnr,subsp/var/f/hybrid/mutant,subsp. Name,Plant organ,Developmental stage,Growth form,N / G,"Mega-, meso-, micro-, 4",Height max (m),Height actual (m),DBH (cm),Year,Month(s),Day,Hemisphere,P50,P50 number of samples,P50 SD,P50 SE,P12,P88,Curve,Equation,P50 method,Ks (kg m-1 MPa-1 s-1),"Ks SE (standard error, kg m-1 MPa-1 s-1)",KL (kg m-1 MPa-1 s-1),"KL SE (standard error, kg m-1 MPa-1 s-1)",psi-min predawn (MPa),SE psi-min predawn (MPa),psi- min midday (MPa),SE psi-min midday (MPa),Huber value (m2 m-2),Leaf to sapwood area ratio (m2 m-2),Sapwood capacitance (kg m-3 MPa-1),Av. tracheid length (?m),Av. vessel length (cm),Vessel length method,Max vessel length (cm),Av. conduit diameter (?m),dh mean hydraulic diameter (?m),Conduit density per mm2,Vessel grouping index,Ac (intervessel contact fraction),Intervessel pit membrane surface area (µm2),Interconduit pit diameter (?m),Outer pit aperture diameter (?m),Aperture/pit size,Pit membrane thickness (nm),Torus diameter (um),Torus overlap,Vestured pits,Fp (pit fraction),Ap (interconduit pit (membrane) area mm2),Porosity,Perforation plates,Ground tissue,Vasicentric tracheids,MOR (MPa),EI (N m2),MOE (MPa),t (interconduit cell wall thickness; um),(t/b)2,d (g/cm3),SLA (cm2 g-1),LMA (g m-2),Leaf size (cm2),K_leaf_max,Total stomata density,Stomatal index,Gs (mol m-2 s-1),Gsmin (mol m-2 s-1),Gcut (mol m-2 s-1),Phenology,Amax (micromol/m2/s),d13C,TLP (MPa),Location,Country,Altitude (m),Altitude provenance (m),Soil density (kg/m?),Sand (%),Clay (%),Silt (%) (= 100% - % clay - % sand),Short reference (authors year),Reference - DOI number,Contributor I name,Contributor II name = ROW DOUBLE-CHECKED,Notes
4422,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Carapa,guianensis,Magnoliopsida,Sapindales,Meliaceae,Carapa guianensis,Carapa,guianensis,,,S,A,T,N,1,60,,,,,,,-0.8,,,,-0.18,-2.3,E,W,AD,,,3.46E-05,,,,-1.3,,3.04E-05,,,,,,,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,no,,,,,,,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4423,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Cordia,alliodora,Magnoliopsida,Boraginales,Ehretiaceae,Cordia alliodora,Cordia,alliodora,,,S,A,T,N,1,35,,,,,,,-3.2,,,,-2.4,-3.85,S,W,AD,,,6.58E-04,,,,-3.7,,,,,,,,50,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4424,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Ficus,citrifolia,Magnoliopsida,Rosales,Moraceae,Ficus citrifolia,Ficus,citrifolia,,,S,A,T,N,2,15,,,,,,,-1.6,,,,-1.1,-2.2,S,W,AD,,,1.62E-04,,,,,,,,,,,,,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,E,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4425,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Hybanthus,prunifolius,Magnoliopsida,Malpighiales,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,,,S,A,S,N,3,4,,,,,,,-2.6,,,,-0.5,-6,E,W,AD,,,1.02E-04,,,,-3.4,,9.52E-04,,,,,,60,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,E,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4426,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Ouratea,lucens,Magnoliopsida,Malpighiales,Ochnaceae,Ouratea lucens,Ouratea,lucens,,,S,A,S,N,4,3,,,,,,,-1.8,,,,-0.5,-4.5,E,W,AD,,,1.22E-04,,,,-1.7,,1.19E-05,,,,,,80,,,,,,,,,,,,,vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,E,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4427,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Prioria,copaifera,Magnoliopsida,Fabales,Fabaceae,Prioria copaifera,Prioria,copaifera,,,S,A,T,N,1,40,,,,,,,-1.6,,,,-0.8,-2.7,S,W,AD,,,6.30E-05,,,,-1.7,,,,,,,,,,,,,,,,,,,,,vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4428,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Psychotria,horizontalis,Magnoliopsida,Gentianales,Rubiaceae,Psychotria horizontalis,Psychotria,horizontalis,,,S,A,S,N,4,3,,,,,,,-4.9,,,,-2.3,-6.2,S,W,AD,,,1.48E-05,,,,-4.6,,2.40E-04,,,,,,50,,,,,,,,,,,,,vestured,,,diffuse-porous,simple,fibers,no,,,,,,,,,,,,,,,,E,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4429,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Swartzia,simplex,Magnoliopsida,Fabales,Fabaceae,Swartzia simplex,Swartzia,simplex,,,S,A,S,N,2,20,,,,,,,-2.9,,,,-1.1,-5.3,E,W,AD,,,7.00E-05,,,,-2.9,,5.21E-04,,,,,,80,,,,,,,,,,,,,vestured,,,diffuse-porous,simple,fibers,,,,,,,,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
4432,48.25,7.25,2009-2012 period,gymnosperm,Podocarpaceae,Picea,abies,Pinopsida,Pinales,Pinaceae,Picea abies,Picea,abies,,,S,A,T,N,1,50,12.6,,,,,,-3.67,,,,-2.8,-4.5,S,PW,DH,,,,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,,,,,,,,0.04,,,E,,,,Vosges,France,1050,1050,,,,,Lu et al. 1996,10.1051/forest:19960108,Cochard,William Hammond,
4433,9.25,-79.917,2009-2012 period,angiosperm,Malvaceae,Ochroma,pyramidale,Magnoliopsida,Malvales,Malvaceae,Ochroma pyramidale,Ochroma,pyramidale,,,S,A,T,N,1,30,,,,,,,-1,,,,-0.75,-1.4,S,P,DH,2.1,,1.14E-03,,-0.1,,-1,,0.000374,,95,,,,,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,,,,,,,0.19,,,,,,,,,,E,,,,Barro Colorado Island (BCI),Panama,100,,,,,,Machado & Tyree 1994,10.1093/treephys/14.3.219,Pratt/Radika Bhaskar,William Hammond,Capacitance units are kg L-1 Mpa-1; gs beyond range of instrument (Li-1600)
4434,9.25,-79.917,2009-2012 period,angiosperm,Malvaceae,Pseudobombax,septenatum,Magnoliopsida,Malvales,Malvaceae,Pseudobombax septenatum,Pseudobombax,septenatum,,,S,A,T,N,1,,,,,,,,-1,,,,-0.6,-1.4,S,P,DH,1.6,,5.15E-04,,-0.1,,-0.5,,0.000328,,60,,,,,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,,,,,,,0.25,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,,,,,,Machado & Tyree 1994,10.1093/treephys/14.3.219,Pratt/Radika Bhaskar,William Hammond,Capacitance units are kg L-1 Mpa-1
4435,39.583,-119.75,2009-2012 period,gymnosperm,Pinaceae,Pinus,ponderosa,Pinopsida,Pinales,Pinaceae,Pinus ponderosa,Pinus,ponderosa,,,S,A,T,N,1,,8.9,,,,,,-2.65,,,,-1.1,-4.2,S,PW,AD,0.64,,0.000552,,-0.96,,-1.98,,0.000862069,,,1440,,,,14.84,,,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,12.6,,,,,,,,,,,,,E,,,,"Desert Research Institute, Nevada",USA,1500,,,,,,Maherali & DeLucia 2000,10.1093/treephys/20.13.859,Radika Bhaskar/Maherali,William Hammond,"Kl summer values, water potentials fall values"
4436,38.75,-119.75,2009-2012 period,gymnosperm,Pinaceae,Pinus,ponderosa,Pinopsida,Pinales,Pinaceae,Pinus ponderosa,Pinus,ponderosa,,,S,A,T,N,1,,,,,,,,-2.61,,,,-1.1,-4.2,S,PW,AD,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,,,,,,,,,,,E,,,,"Alpine County, Nevada",USA,2100,,,,,,Maherali & DeLucia 2000,10.1093/treephys/20.13.859,Radika Bhaskar/Maherali,William Hammond,
4437,39.417,-119.75,2009-2012 period,gymnosperm,Pinaceae,Pinus,ponderosa,Pinopsida,Pinales,Pinaceae,Pinus ponderosa,Pinus,ponderosa,,,S,A,T,N,1,,14.3,,,,,,-2.61,,,,-1.1,-4.2,S,PW,AD,0.54,,,,-0.96,,-2.05,,0.000483092,,,1520,,,,14.12,,,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,9.76,,,,33.59,,,,,,0.062,,,E,4.9,,,"Virginia Range, Nevada",USA,2030,,,,,,Maherali & DeLucia 2000,10.1093/treephys/20.13.859,Radika Bhaskar/Maherali,William Hammond,"Kl summer values, water potentials fall values"
