uniqueID,lat,long,XFT database,Group,Family,Genus,Species,class_gbif,order_gbif,family_gbif,binomial_gnr,genus_gnr,species_gnr,subsp/var/f/hybrid/mutant,subsp. Name,Plant organ,Developmental stage,Growth form,N / G,"Mega-, meso-, micro-, 4",Height max (m),Height actual (m),DBH (cm),Year,Month(s),Day,Hemisphere,P50,P50 number of samples,P50 SD,P50 SE,P12,P88,Curve,Equation,P50 method,Ks (kg m-1 MPa-1 s-1),"Ks SE (standard error, kg m-1 MPa-1 s-1)",KL (kg m-1 MPa-1 s-1),"KL SE (standard error, kg m-1 MPa-1 s-1)",psi-min predawn (MPa),SE psi-min predawn (MPa),psi- min midday (MPa),SE psi-min midday (MPa),Huber value (m2 m-2),Leaf to sapwood area ratio (m2 m-2),Sapwood capacitance (kg m-3 MPa-1),Av. tracheid length (?m),Av. vessel length (cm),Vessel length method,Max vessel length (cm),Av. conduit diameter (?m),dh mean hydraulic diameter (?m),Conduit density per mm2,Vessel grouping index,Ac (intervessel contact fraction),Intervessel pit membrane surface area (µm2),Interconduit pit diameter (?m),Outer pit aperture diameter (?m),Aperture/pit size,Pit membrane thickness (nm),Torus diameter (um),Torus overlap,Vestured pits,Fp (pit fraction),Ap (interconduit pit (membrane) area mm2),Porosity,Perforation plates,Ground tissue,Vasicentric tracheids,MOR (MPa),EI (N m2),MOE (MPa),t (interconduit cell wall thickness; um),(t/b)2,d (g/cm3),SLA (cm2 g-1),LMA (g m-2),Leaf size (cm2),K_leaf_max,Total stomata density,Stomatal index,Gs (mol m-2 s-1),Gsmin (mol m-2 s-1),Gcut (mol m-2 s-1),Phenology,Amax (micromol/m2/s),d13C,TLP (MPa),Location,Country,Altitude (m),Altitude provenance (m),Soil density (kg/m?),Sand (%),Clay (%),Silt (%) (= 100% - % clay - % sand),Short reference (authors year),Reference - DOI number,Contributor I name,Contributor II name = ROW DOUBLE-CHECKED,Notes
1483,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Abies,grandis,Pinopsida,Pinales,Pinaceae,Abies grandis,Abies,grandis,,,R,A,T,N,,,,,,,,,-2.81,6,,,,-4.39,,,CE,5.52,,,,-0.78,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1484,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Larix,occidentalis,Pinopsida,Pinales,Pinaceae,Larix occidentalis,Larix,occidentalis,,,R,A,T,N,,,,,,,,,-2.87,6,,,-2.03,-4.04,,,CE,2.79,,,,-0.95,,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1485,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pinus,monticola,Pinopsida,Pinales,Pinaceae,Pinus monticola,Pinus,monticola,,,R,A,T,N,,,,,,,,,-1.3,6,,,-0.23,,,,CE,3.43,,,,-0.96,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1486,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pinus,ponderosa,Pinopsida,Pinales,Pinaceae,Pinus ponderosa,Pinus,ponderosa,,,R,A,T,N,,,,,,,,,-1.59,6,,,-1.09,-2.09,,,CE,6.32,,,,-0.98,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1487,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pseudotsuga,menziesii,Pinopsida,Pinales,Pinaceae,Pseudotsuga menziesii,Pseudotsuga,menziesii,,,R,A,T,N,,,,,,,,,-4.59,6,,,-2.1,-5.94,,,CE,3.3,,,,-0.9,,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1488,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Cupressaceae,Thuja,plicata,Pinopsida,Pinales,Cupressaceae,Thuja plicata,Thuja,plicata,,,R,A,T,N,,,,,,,,,-3,6,,,-0.68,-4.3,,,CE,4.12,,,,-0.82,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1489,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Abies,grandis,Pinopsida,Pinales,Pinaceae,Abies grandis,Abies,grandis,,,S,A,T,N,,,,,,,,,-7,6,,,-3.61,,,,CE,0.52,,,,-0.78,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1490,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Larix,occidentalis,Pinopsida,Pinales,Pinaceae,Larix occidentalis,Larix,occidentalis,,,S,A,T,N,,,,,,,,,-5.88,6,,,-2.66,,,,CE,1,,,,-0.95,,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1491,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pinus,monticola,Pinopsida,Pinales,Pinaceae,Pinus monticola,Pinus,monticola,,,S,A,T,N,,,,,,,,,-5.25,6,,,-2.62,,,,CE,0.45,,,,-0.96,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1492,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pinus,ponderosa,Pinopsida,Pinales,Pinaceae,Pinus ponderosa,Pinus,ponderosa,,,S,A,T,N,,,,,,,,,-3.32,6,,,-2.79,-3.81,,,CE,0.66,,,,-0.98,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1493,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Pinaceae,Pseudotsuga,menziesii,Pinopsida,Pinales,Pinaceae,Pseudotsuga menziesii,Pseudotsuga,menziesii,,,S,A,T,N,,,,,,,,,-4.78,6,,,-2.98,,,,CE,0.31,,,,-0.9,,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1494,46.83333333,-116.7166667,2013-2020 period,gymnosperm,Cupressaceae,Thuja,plicata,Pinopsida,Pinales,Cupressaceae,Thuja plicata,Thuja,plicata,,,S,A,T,N,,,,,,,,,-5.49,6,,,-2.55,-6.72,,,CE,0.2,,,,-0.82,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Princeton, Idaho",USA,944,,,,,,Baker et al. 2019,10.1093/aobpla/plz056,Dan Johnson,Frank Sterck,P50 SD = upper and lower 95% CI bounds
1502,48.7128,2.147953,2013-2020 period,angiosperm,Lauraceae,Laurus,nobilis,Magnoliopsida,Laurales,Lauraceae,Laurus nobilis,Laurus,nobilis,,,S,Se,T,E,2,,,,,,,,-7.94,,,,-5.37,-10.51,S,PW,microCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Gif-sur-Yvette,France,,,,,,,Lamarque et al. 2018,10.1007/s13595-018-0768-9,Laurent Lamarque,Guang-You Hao,slope from PW equation
1503,44.802016,-0.608872,2013-2020 period,angiosperm,Lauraceae,Laurus,nobilis,Magnoliopsida,Laurales,Lauraceae,Laurus nobilis,Laurus,nobilis,,,S,A,T,E,2,,,,,,,,-9.21,7,0.61,,-6.94,-11.47,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,,,,,,Lamarque et al. 2018,10.1007/s13595-018-0768-9,Laurent Lamarque,Guang-You Hao,slope from PW equation
1504,44.802016,-0.608872,2013-2020 period,angiosperm,Lauraceae,Laurus,nobilis,Magnoliopsida,Laurales,Lauraceae,Laurus nobilis,Laurus,nobilis,,,L,Se,T,E,2,,,,,,,,-8.32,4,0.7,,-7.45,-9.2,S,PW,OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,,,,,,Lamarque et al. 2018,10.1007/s13595-018-0768-9,Laurent Lamarque,Guang-You Hao,slope from PW equation
1505,44.802016,-0.608872,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig wild type,,S,A,F,E,4,,,,,,,,-2.55,5,0.25,,-1.28,-3.82,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,data for 90-day-old plants; slope from PW equation
1506,44.802016,-0.608872,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig sp12,,S,A,F,E,4,,,,,,,,-1.99,5,0.42,,-1.23,-2.74,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,data for 90-day-old plants; slope from PW equation
1507,44.802016,-0.608872,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig wild type,,S,A,F,E,4,,,,,,,,-3.1,4,0.14,,-2.01,-4.18,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,data for 170-day-old plants; slope from PW equation
1508,44.802016,-0.608872,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig sp12,,S,A,F,E,4,,,,,,,,-2.79,7,0.42,,-1.72,-3.88,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,data for 170-day-old plants; slope from PW equation
1509,48.7128,2.147953,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig wild type,,S,A,F,E,4,,,,,,,,-2.69,6,0.27,,-1.63,-1.91,S,PW,microCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Gif-sur-Yvette,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,slope from PW equation
1510,48.7128,2.147953,2013-2020 period,angiosperm,Solanaceae,Solanum,lycopersicum,Magnoliopsida,Solanales,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Ailsa Craig sp12,,S,A,F,E,4,,,,,,,,-1.52,4,0.28,,-1.12,-3.74,S,PW,microCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,Gif-sur-Yvette,France,,,,,,,Lamarque et al. 2020,10.1111/pce.13703,Laurent Lamarque,Guang-You Hao,slope from PW equation
1511,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,Mimizan,,S,Se,T,C,1,,,,,,,,-3.93,40,0.25,,-3.11,-4.58,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,37,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1512,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,San Cipriano,,S,Se,T,C,1,,,,,,,,-3.92,40,0.38,,-3.16,-4.75,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,310,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1513,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,Bayubas,,S,Se,T,C,1,,,,,,,,-3.88,39,0.25,,-2.89,-4.27,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,955,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1514,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,Coca,,S,Se,T,C,1,,,,,,,,-3.86,40,0.32,,-2.96,-4.8,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,788,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1515,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,Oria,,S,Se,T,C,1,,,,,,,,-3.91,40,0.19,,-2.77,-4.43,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,1232,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1516,44.802016,-0.608872,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,Tamrabta,,S,Se,T,C,1,,,,,,,,-4.04,40,0.19,,-2.91,-4.44,S,PW,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,Bordeaux,France,,1760,,,,,Lamy et al. 2011,10.1371/journal.pone.0023476,Laurent Lamarque,Dan Johnson,slope from PW equation
1517,,,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,,,S,Sa,T,C,1,,,,,,,,-3.6,216,0.02,,,,S,PW,CA,1.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wet site Bordeaux,France,,,,,,,Lamy et al. 2014,10.1111/nph.12556,Sylvain Delzon,William Hammond,
1518,,,2013-2020 period,gymnosperm,Pinaceae,Pinus,pinaster,Pinopsida,Pinales,Pinaceae,Pinus pinaster,Pinus,pinaster,,,S,Sa,T,C,1,,,,,,,,-3.9,215,0.02,,,,S,PW,CA,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry site Madrid,Spain,,,,,,,Lamy et al. 2014,10.1111/nph.12556,Sylvain Delzon,William Hammond,
1519,-30.49428,116.3033333,2013-2020 period,gymnosperm,Cupressaceae,Actinostrobus,acuminatus,Pinopsida,Pinales,Cupressaceae,Actinostrobus acuminatus,Actinostrobus,acuminatus,,,S,A,T,N,,,,,,,,,-11.52,,,,,,S,,CE,0.438,0.063,,,,,,,,,,,,,,10.86,14.3,2686,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.68,,,,,,,,,,E,,,,Western Australia,Australia,195,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1520,-31.51,116.8366667,2013-2020 period,gymnosperm,Cupressaceae,Actinostrobus,arenarius,Pinopsida,Pinales,Cupressaceae,Actinostrobus arenarius,Actinostrobus,arenarius,,,S,A,T,N,,,,,,,,,-15.16,,,,,,S,,CE,0.606,0.03,,,,,,,,,,,,,,10.26,13.37,2736,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.69,,,,,,,,,,E,,,,Western Australia,Australia,338,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1521,-31.13666667,116.54,2013-2020 period,gymnosperm,Cupressaceae,Actinostrobus,pyramidalis,Pinopsida,Pinales,Cupressaceae,Actinostrobus pyramidalis,Actinostrobus,pyramidalis,,,S,A,T,N,,,,,,,,,-11.78,,,,,,S,,CE,0.512,0.045,,,,,,,,,,,,,,9.26,12.3,3096,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.58,,,,,,,,,,E,,,,Western Australia,Australia,204,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1522,-35.46,152.3266667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,baileyi,Pinopsida,Pinales,Cupressaceae,Callitris baileyi,Callitris,baileyi,,,S,A,T,C,,,,,,,,,-11.37,,,,,,S,,CE,0.615,0.023,,,,,,,,,,,,,,11.31,13.99,2820,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.56,,,,,,,,,,E,,,,Western Australia,Australia,155,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1523,-34.41,118.8166667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,canescens,Pinopsida,Pinales,Cupressaceae,Callitris canescens,Callitris,canescens,,,S,A,T,N,,,,,,,,,-16.9,,,,,,S,,CE,0.294,0.024,,,,,,,,,,,,,,9.08,11.39,3454,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.7,,,,,,,,,,E,,,,Western Australia,Australia,305,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1524,-35.028,121.2016667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,columellaris,Pinopsida,Pinales,Cupressaceae,Callitris columellaris,Callitris,columellaris,,,S,A,T,N,,,,,,,,,-15.8,,,,,,S,,CE,0.289,0.098,,,,,,,,,,,,,,11.27,13.16,2403,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.66,,,,,,,,,,E,,,,Western Australia,Australia,134,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1525,-35.028,121.2016667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,drummondii,Pinopsida,Pinales,Cupressaceae,Callitris drummondii,Callitris,drummondii,,,S,A,T,N,,,,,,,,,-13.11,,,,,,S,,CE,0.477,0.033,,,,,,,,,,,,,,10.15,12.3,3352,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.62,,,,,,,,,,E,,,,Western Australia,Australia,134,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1526,-34.487,151.0906667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,endlicheri,Pinopsida,Pinales,Cupressaceae,Callitris endlicheri,Callitris,endlicheri,,,S,A,T,N,,,,,,,,,-12.28,,,,,,S,,CE,0.754,0.056,,,,,,,,,,,,,,13.18,16.37,2418,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.66,,,,,,,,,,E,,,,New south wales,Australia,612,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1527,-34.784,150.1626667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,glaucophylla,Pinopsida,Pinales,Cupressaceae,Callitris glaucophylla,Callitris,glaucophylla,,,S,A,T,N,,,,,,,,,-14.37,,,,,,S,,CE,0.652,0.071,,,,,,,,,,,,,,11.02,13.37,2683,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.74,,,,,,,,,,E,,,,New south wales,Australia,707,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1528,-35.622,142.2646667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,gracilis,Pinopsida,Pinales,Cupressaceae,Callitris gracilis,Callitris,gracilis,,,S,A,T,N,,,,,,,,,-12.49,,,,,,S,,CE,0.359,0.083,,,,,,,,,,,,,,10.37,12.68,2880,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.61,,,,,,,,,,E,,,,South Australia,Australia,57,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1529,-34.815,151.464,2013-2020 period,gymnosperm,Cupressaceae,Callitris,intratropica,Pinopsida,Pinales,Cupressaceae,Callitris intratropica,Callitris,intratropica,,,S,A,T,C,,,,,,,,,-12.81,,,,,,S,,CE,1.252,0.05,,,,,,,,,,,,,,13.22,15.6,1802,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.62,,,,,,,,,,E,,,,Sydney,Australia,30,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1530,-35.469,152.3306667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,macleayana,Pinopsida,Pinales,Cupressaceae,Callitris macleayana,Callitris,macleayana,,,S,A,T,C,,,,,,,,,-8.07,,,,,,S,,CE,0.865,0.276,,,,,,,,,,,,,,15.91,20.31,1378,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.6,,,,,,,,,,E,,,,Mt Annan BG,Australia,155,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1531,-34.239,151.4523333,2013-2020 period,gymnosperm,Cupressaceae,Callitris,monticola,Pinopsida,Pinales,Cupressaceae,Callitris monticola,Callitris,monticola,,,S,A,T,C,,,,,,,,,-8.84,,,,,,S,,CE,0.757,0.098,,,,,,,,,,,,,,13.96,16.03,2151,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.5,,,,,,,,,,E,,,,Mt Tomah BG,Australia,950,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1532,-34.432,151.9043333,2013-2020 period,gymnosperm,Cupressaceae,Callitris,muelleri,Pinopsida,Pinales,Cupressaceae,Callitris muelleri,Callitris,muelleri,,,S,A,T,N,,,,,,,,,-10.1,,,,,,S,,CE,0.571,0.075,,,,,,,,,,,,,,10.22,12.54,3196,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.47,,,,,,,,,,E,,,,New south wales,Australia,815,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1533,-22.71533333,167.066,2013-2020 period,gymnosperm,Cupressaceae,Callitris,neocaledonica,Pinopsida,Pinales,Cupressaceae,Callitris neocaledonica,Callitris,neocaledonica,,,S,A,T,N,,,,,,,,,-3.83,,,,,,S,,CE,0.545,0.046,,,,,,,,,,,,,,13.57,17.31,1654,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.69,,,,,,,,,,E,,,,New Caledonia,France,1391,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1534,52.085,-1.967666667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,oblonga,Pinopsida,Pinales,Cupressaceae,Callitris oblonga,Callitris,oblonga,,,S,A,T,C,,,,,,,,,-10.88,,,,,,S,,CE,0.187,0.014,,,,,,,,,,,,,,12.71,14.58,2935,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.57,,,,,,,,,,E,,,,Kew Garden,England,53,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1535,52.085,-1.967666667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,preissii,Pinopsida,Pinales,Cupressaceae,Callitris preissii,Callitris,preissii,,,S,A,T,C,,,,,,,,,-14.97,,,,,,S,,CE,0.311,0.062,,,,,,,,,,,,,,12.56,14.75,2484,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.65,,,,,,,,,,E,,,,Kew Garden,England,53,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1536,52.085,-1.967666667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,rhomboidea,Pinopsida,Pinales,Cupressaceae,Callitris rhomboidea,Callitris,rhomboidea,,,S,A,T,C,,,,,,,,,-10.32,,,,,,S,,CE,0.257,0.06,,,,,,,,,,,,,,13.66,15.57,2603,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.61,,,,,,,,,,E,,,,Kew Garden,England,53,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1537,-33.208,118.984,2013-2020 period,gymnosperm,Cupressaceae,Callitris,roei,Pinopsida,Pinales,Cupressaceae,Callitris roei,Callitris,roei,,,S,A,T,N,,,,,,,,,-12.21,,,,,,S,,CE,0.34,0.02,,,,,,,,,,,,,,9.73,12.9,2938,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.67,,,,,,,,,,E,,,,Western Australia,Australia,346,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
1538,-23.21633333,167.5046667,2013-2020 period,gymnosperm,Cupressaceae,Callitris,sulcata,Pinopsida,Pinales,Cupressaceae,Callitris sulcata,Callitris,sulcata,,,S,A,T,N,,,,,,,,,-8.24,,,,,,S,,CE,0.557,0.043,,,,,,,,,,,,,,14.14,18.82,1607,,,,,,,,,,,,,vesselless,vesselless,tracheids,no,,,,,,0.68,,,,,,,,,,E,,,,New Caledonia,France,16,,,,,,Larter et al. 2017,10.1111/nph.14545,JC Domec,William Hammond,
